iso3,outflow_pct_gdp,paid_usd,year,source
ABW,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
AFE,0.469,5831870850,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
AFG,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
AFW,0.585,4305668163,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
AGO,0.415,419534481,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ALB,0.759,205314880,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
AND,3.467,140043306,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ARB,3.873,144684600691,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ARE,10.585,58461538461,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ARG,0.089,569566511,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ARM,2.294,595500108,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ATG,1.945,42946906,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
AUS,0.915,16079465512,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
AUT,1.81,9677952357,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
AZE,0.893,663698000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BDI,0.525,16189395,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BEL,1.506,10113206949,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BEN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BFA,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BGD,0.037,165689379,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BGR,0.373,422870000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BHR,5.645,2659574468,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BHS,2.027,320921378,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BIH,0.561,166192585,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BLR,0.299,227486364,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BLZ,1.474,47224551,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BMU,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BOL,0.448,245822433,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BRA,0.096,2090043729,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BRB,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BRN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BTN,2.474,74536653,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
BWA,0.607,117708428,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CAF,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CAN,0.679,15226924063,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CEB,0.865,21289063923,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CHE,4.283,40110118771,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CHL,0.209,690690250,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CHN,0.107,20018921502,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CIV,2.35,2047156966,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CMR,0.19,101289174,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
COD,1.794,1273112289,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
COG,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
COL,0.097,406846513,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
COM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CPV,1.19,32428364,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CRI,0.66,629372103,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CSS,0.855,772163868,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CUW,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CYM,8.353,604865970,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CYP,3.457,1301183062,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
CZE,1.474,5114391974,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
DEU,0.505,23662387574,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
DJI,0.023,974595,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
DMA,1.46,10057321,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
DNK,1.142,4846027608,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
DOM,0.943,1172500000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
DZA,0.053,143040780,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
EAP,0.231,51357714069,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
EAR,0.562,88917479266,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
EAS,0.289,92578194011,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ECA,0.4,9814005470,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ECS,0.783,229311728240,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ECU,0.508,633389383,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
EGY,0.088,340600000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
EMU,0.771,127022338172,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ERI,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ESP,0.034,588213669,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
EST,0.614,264609460,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ETH,0.046,69266825,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
EUU,0.783,152586205041,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
FCS,0.278,4590788536,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
FIN,0.527,1573915937,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
FJI,0.22,13134508,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
FRA,0.623,19687372015,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
FRO,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
FSM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GAB,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GBR,0.333,12271093645,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GEO,0.915,312756323,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GHA,0.912,751038880,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GIN,0.9,224970000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GMB,0.407,9775889,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GNB,3.817,84677703,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GNQ,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GRC,1.236,3166102429,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GRD,3.779,51846078,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GTM,0.03,34242900,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
GUY,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
HKG,0.267,1087260113,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
HND,0.933,346096592,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
HPC,0.755,8642415517,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
HRV,2.114,1966100773,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
HTI,3.053,770001370,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
HUN,0.541,1204209377,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IBD,0.177,72287749052,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IBT,0.271,118714885051,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IDA,0.434,12553894874,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IDB,0.348,3884164110,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IDN,0.797,11128256369,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IDX,0.488,8669730763,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IND,0.309,12072300699,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IRL,0.442,2689699999,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IRN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
IRQ,0.263,735700000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ISL,1.937,644164466,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ISR,0.254,1373100000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ITA,0.519,12361405831,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
JAM,1.422,312990456,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
JOR,1.081,576901408,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
JPN,0.151,6071789020,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
KAZ,0.925,2696742658,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
KEN,0.004,4935594,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
KGZ,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
KHM,0.811,375772691,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
KIR,0.343,1055952,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
KNA,2.467,27690991,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
KOR,0.764,14332800000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
KWT,8.843,14168984683,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LAC,0.145,8932861260,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LAO,0.856,141320000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LBN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LBR,3.155,150809859,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LBY,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LCA,0.617,15740166,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LCN,0.171,12133194891,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LDC,0.414,6362053373,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LKA,0.168,166050273,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LMY,0.215,84824702815,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LSO,0.134,3041602,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LTE,0.565,169352068841,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LTU,0.797,676057345,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LUX,20.093,18742471949,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
LVA,1.32,576778154,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MAC,4.96,2453364868,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MAR,0.116,186442479,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MDA,2.815,512335316,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MDG,0.495,86161330,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MDV,8.816,622562741,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MEA,2.877,146566816432,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MEX,0.07,1308403827,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MHL,5.476,15885159,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MIC,0.21,81686968510,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MKD,0.142,24147739,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MLI,0.993,266086008,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MLT,0.907,226413906,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MMR,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MNA,0.11,2415333423,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MNE,2.373,196265022,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MNG,0.788,187474356,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MOZ,0.864,196407527,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MRT,0.635,69298165,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MUS,7.512,1122177192,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MWI,1.753,198332605,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
MYS,2.568,10842907209,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NAC,0.382,118405924063,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NAM,0.605,80920026,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NCL,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NER,2.345,466152984,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NGA,0.037,92301297,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NIC,0.74,145700000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NLD,1.492,18125742438,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NOR,1.179,5701801444,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NPL,0.19,81687530,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NRU,16.102,26180447,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
NZL,0.45,1169619979,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
OED,0.544,367290299474,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
OMN,8.573,9184884710,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
OSS,2.258,4699154646,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PAK,0.095,352000000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PAN,0.689,596169824,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PER,0.115,331196017,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PHL,0.058,268879630,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PLW,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PNG,0.263,83666253,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
POL,0.852,7815000000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PRE,0.502,7582832224,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PRT,0.154,482204902,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PRY,0.179,79507130,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PSE,0.068,9330391,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PSS,1.515,183699831,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PST,0.566,355577064303,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
PYF,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
QAT,5.253,11512087912,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ROU,0.551,2108527424,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
RUS,0.38,8270710000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
RWA,0.702,100015536,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SAS,0.292,13182827277,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SAU,3.756,46564898867,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SDN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SEN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SGP,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SLB,3.269,51778697,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SLE,0.139,9682869,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SLV,0.724,256055246,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SMR,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SOM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SRB,1.225,1103748226,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SSA,0.547,9991140025,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SSD,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SSF,0.512,10137539014,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SST,1.82,5655018346,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
STP,0.319,2620904,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SUR,2.041,90144564,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SVK,0.402,566205911,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SVN,0.787,574313501,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SWE,0.671,4052840483,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SWZ,0.56,27231435,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SXM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SYC,3.021,65478962,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
SYR,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TCA,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TCD,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TEA,0.231,51383894516,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TEC,0.496,30397213668,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TGO,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
THA,1.526,8034488795,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TJK,4.126,586128284,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TKM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TLA,0.165,11207407541,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TLS,6.352,118507877,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TMN,0.11,2406003032,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TON,4.697,27764391,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TSA,0.292,13182827277,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TSS,0.512,10137539014,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TTO,0.586,150105444,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TUN,0.137,70343768,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TUR,0.113,1534000000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TUV,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
TZA,0.865,681881764,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
UGA,0.391,211063479,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
UKR,0.101,193000000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
URY,0.17,137570760,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
USA,0.359,103179000000,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
UZB,0.641,737254767,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
VCT,1.338,15486465,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
VEN,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
VNM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
VUT,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
WLD,0.561,622316223931,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
WSM,4.074,47900674,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
XKX,0.531,59435193,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
YEM,0.0,0,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ZAF,0.248,993227782,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ZMB,0.47,118804959,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
ZWE,0.105,43758724,2024,World Bank BM.TRF.PWKR.CD.DT / NY.GDP.MKTP.CD
